Link,Company,Title,Exp,Edu
https://www.jobkorea.co.kr/Recruit/GI_Read/41252806?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜포스코,2023년 상반기 포스코그룹 신입/경력 채용,신입·경력,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40994620?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜펌프킨,"CS 응용프로그램 개발자 신규채용, 파이썬, C++",경력무관,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41212418?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜현대홈쇼핑,미디어커머스 C.I.C 직무별 상시채용,경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41014939?Oem_Code=C1&logpath=1&stext=러시아&listno=,에르타,통계/빅데이터 분야 Python 인력모집,경력무관,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41202697?Oem_Code=C1&logpath=1&stext=러시아&listno=,현대자동차㈜,[현대자동차] 울산공장 계약직 채용(홍보사원/의전 운영 지원),경력무관,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40834481?Oem_Code=C1&logpath=1&stext=러시아&listno=,그린컴퓨터아카데미 의정부점,자바/파이썬 기반 빅데이터 개발자 종합반 강의하실 강사님 모십니다.,경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41212220?Oem_Code=C1&logpath=1&stext=러시아&listno=,버거킹 (㈜비케이알),2023년 4차 [신입&경력&희망3040] 정규직 운영관리직(Manager)채용,신입·경력,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40944330?Oem_Code=C1&logpath=1&stext=러시아&listno=,이벌브소프트,[이벌브소프트] Back End(Python) 개발자 채용,경력무관,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41199894?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜이연에프엔씨,2023년 각 부문별 수시 채용,신입·경력,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40935926?Oem_Code=C1&logpath=1&stext=러시아&listno=,바이오커넥트,(주)바이오커넥트 - [신입 및 경력] 생체정보 영상처리 알고리즘 개발(Python),경력무관,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40821579?Oem_Code=C1&logpath=1&stext=러시아&listno=,피에로컴퍼니,"O2O 플랫폼 웹(백엔드) 개발자 python, django 인턴 정규직 채용",경력무관,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40814934?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜위존 강남사업장,[경력] Solution/SW 웹개발자 채용 - JAVA/SPRING/Python,경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40953229?Oem_Code=C1&logpath=1&stext=러시아&listno=,기술좋은직업전문학교,[국비전액무료] 빅데이터&자바&파이썬 전문인력 취업연계교육,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41209133?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜배상면주가,2023년 배상면주가 각 부문별 신입/경력 채용,신입·경력,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40809250?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜포디아이비젼,OpenCV/MATLAB/TensorFlow/Python/C/C++/Linux 알고리즘 개발 (팀원)(팀장),신입·경력3년↑,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40909526?Oem_Code=C1&logpath=1&stext=러시아&listno=,더조은컴퓨터학원,"[더조은컴퓨터 구로캠퍼스] 빅데이터분석(파이썬, 자바)기반 AI(머신러닝,딥러닝) 강사 채용",경력무관,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40879213?Oem_Code=C1&logpath=1&stext=러시아&listno=,PENTAIN,"[동경] WebApplication개발자모집 (Java,Python경력자)",경력2년↑,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40817293?Oem_Code=C1&logpath=1&stext=러시아&listno=,누리꿈소프트㈜,"[경력자] 데이터시각화 개발자 채용(Python,Spotfire)",경력2년↑,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41201932?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜파괴연구소,카카오계열 : 파괴연구소 우린 에어팟 끼고 일해요,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40767866?Oem_Code=C1&logpath=1&stext=러시아&listno=,(유)지니집코리아,WEB/Python/개발자 채용 (미국영주권스폰),경력2년↑,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40967913?Oem_Code=C1&logpath=1&stext=러시아&listno=,오아시스스토리㈜,프로그래머 모십니다 [java/jsp /c#/python],경력무관,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40991763?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜제스엔지니어링,[채용] C# S/W or Python 개발자 경력 우대(사원주임대리과장급),경력무관,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40777455?Oem_Code=C1&logpath=1&stext=러시아&listno=,이맥스정보기술,"AI 개발자(python, django 유경험자) 모집",신입·경력1년↑,대졸↑
